['580598: cncbarrier_f.p3d', 384]
['581648: b_ficusc1s_f.p3d', 1606]
['579783: b_neriumo2s_white_f.p3d', 1719]
['579751: b_neriumo2s_white_f.p3d', 1725]
['579244: mound01_8m_f.p3d', 1806]
['579465: b_neriumo2s_white_f.p3d', 1853]
['582424: b_ficusc1s_f.p3d', 663]
['581018: b_ficusc1s_f.p3d', 115]
['580749: b_ficusc1s_f.p3d', 116]
['582314: mound02_8m_f.p3d', 975]
['581139: t_ficusb2s_f.p3d', 547]
['582323: stone_pillar_f.p3d', 847]
['581080: stone_pillar_f.p3d', 317]
['579598: mound01_8m_f.p3d', 190]
['580773: pavement_narrow_f.p3d', 525]
['581093: pavement_narrow_f.p3d', 722]
['582498: mound02_8m_f.p3d', 1015]
['582499: mound02_8m_f.p3d', 1016]
['580812: tyres_f.p3d', 1128]
['580815: campingtable_small_f.p3d', 1144]
['579977: b_ficusc1s_f.p3d', 1238]
['580787: pipe_fence_4m_f.p3d', 97]
['580592: toiletbox_f.p3d', 300]
['582352: bricks_v4_f.p3d', 999]
['581129: stone_pillar_f.p3d', 472]
['580879: t_oleae2s_f.p3d', 685]
['581064: b_ficusc2s_f.p3d', 350]
['581415: b_ficusc1s_f.p3d', 651]
['581135: stone_pillar_f.p3d', 502]
['581385: stone_8m_f.p3d', 662]
['581046: stone_8m_f.p3d', 372]
['582375: b_ficusc1s_f.p3d', 1020]
['581713: mound01_8m_f.p3d', 1270]
['581727: mound01_8m_f.p3d', 1282]
['580930: cratesshabby_f.p3d', 1338]
['579825: t_quercusir2s_f.p3d', 1586]
['582430: b_ficusc1s_f.p3d', 803]
['580954: b_ficusc1s_f.p3d', 893]
['1995802eb00# 580925: u_house_big_02_v1_f.p3d Land_u_House_Big_02_V1_F', 561]
['580666: stone_pillar_f.p3d', 194]
['580789: stone_pillar_f.p3d', 153]
['579888: powerpolewooden_l_off_f.p3d', 617]
['582305: b_ficusc1s_f.p3d', 993]
['51971: signt_speedlimit30.p3d', 136]
['580912: stone_8m_f.p3d', 777]
['580841: pavement_wide_f.p3d', 744]
['581380: stone_8m_f.p3d', 442]
['1780711: kestrel_f.p3d Kestrel_Random_F', 462]
['1992d10e080# 580681: fs_feed_f.p3d Land_fs_feed_F', 306]
['579995: b_ficusc2s_f.p3d', 942]
['580723: b_ficusc1s_f.p3d', 1106]
['580819: cratesplastic_f.p3d', 1229]
['579934: pavement_wide_f.p3d', 1509]
['579578: mound02_8m_f.p3d', 1555]
['579507: mound01_8m_f.p3d', 1700]
['580580: mil_wallbig_4m_f.p3d', 1757]
['580679: wall_tin_4_2.p3d', 308]
['581063: pipe_fence_4m_f.p3d', 102]
['581102: stone_8m_f.p3d', 509]
['582292: tyres_f.p3d', 952]
['581059: t_fraxinusav2s_f.p3d', 111]
['582261: b_ficusc1s_f.p3d', 1024]
['579837: pavement_narrow_f.p3d', 1146]
['579988: b_ficusc1s_f.p3d', 1239]
['579705: cratesshabby_f.p3d', 1502]
['579753: b_neriumo2s_white_f.p3d', 1726]
['579468: b_neriumo2s_white_f.p3d', 1824]
['581225: t_ficusb1s_f.p3d', 52]
['1992d122080# 581001: u_house_big_02_v1_f.p3d Land_u_House_Big_02_V1_F', 323]
['580857: pavement_wide_f.p3d', 147]
['581052: stone_8m_f.p3d', 120]
['580827: city_8m_f.p3d', 148]
['582414: b_ficusc1s_f.p3d', 1087]
['582283: mound02_8m_f.p3d', 1174]
['582405: t_ficusb1s_f.p3d', 1194]
['1787748: kestrel_f.p3d Kestrel_Random_F', 1353]
['581783: t_ficusb1s_f.p3d', 1376]
['581650: b_ficusc1s_f.p3d', 1458]
['1790008: kestrel_f.p3d Kestrel_Random_F', 1493]
['581644: b_ficusc1s_f.p3d', 1599]
['581645: b_ficusc1s_f.p3d', 1603]
['579501: b_ficusc1s_f.p3d', 1628]
['579791: b_neriumo2s_white_f.p3d', 1722]
['579830: stone_pillar_f.p3d', 1855]
['581181: basket_f.p3d', 783]
['581202: t_ficusb1s_f.p3d', 41]
['580641: pavement_narrow_f.p3d', 223]
['582358: canisterplastic_f.p3d', 944]
['580864: b_ficusc1s_f.p3d', 286]
['581220: mound01_8m_f.p3d', 85]
['581739: stone_8m_f.p3d', 1168]
['581711: b_ficusc1s_f.p3d', 1182]
['579985: b_ficusc1s_f.p3d', 1258]
['580582: mil_wallbig_corner_f.p3d', 1310]
['579730: mound02_8m_f.p3d', 1443]
['579990: b_ficusc1s_f.p3d', 1513]
['579776: b_neriumo2s_white_f.p3d', 1787]
['582225: stone_pillar_f.p3d', 682]
['581419: b_ficusc2s_f.p3d', 708]
['582372: b_ficusc1s_f.p3d', 992]
['580974: pavement_narrow_f.p3d', 609]
['579964: t_ficusb2s_f.p3d', 696]
['582338: t_oleae2s_f.p3d', 675]
['580767: t_ficusb1s_f.p3d', 112]
['580929: sacks_goods_f.p3d', 736]
['1783767: kestrel_f.p3d Kestrel_Random_F', 1149]
['580524: basket_f.p3d', 1215]
['579943: cages_f.p3d', 1291]
['579856: t_fraxinusav2s_f.p3d', 1330]
['581696: mound02_8m_f.p3d', 1749]
['580899: concrete_smallwall_8m_f.p3d', 860]
['580676: fs_price_f.p3d', 215]
['581374: tyre_f.p3d', 415]
['580943: garbagebin_01_f.p3d', 691]
['581330: stone_pillar_f.p3d', 489]
['582313: mound02_8m_f.p3d', 977]
['580890: pavement_wide_f.p3d', 906]
['581759: b_ficusc1s_f.p3d', 1096]
['579599: b_ficusc1s_f.p3d', 1108]
['19957e9b580# 579537: i_stone_shed_v3_f.p3d Land_i_Stone_Shed_V3_F', 1109]
['581718: mound01_8m_f.p3d', 1281]
['581760: b_ficusc1s_f.p3d', 1378]
['1788636: kestrel_f.p3d Kestrel_Random_F', 1408]
['581734: mound02_8m_f.p3d', 1457]
['579904: concrete_smallwall_4m_f.p3d', 1643]
['51953: signc_05_2.p3d', 1704]
['581649: b_ficusc1s_f.p3d', 1799]
['580768: mound02_8m_f.p3d', 32]
['581354: b_ficusc1s_f.p3d', 341]
['581185: campingchair_v1_folded_f.p3d', 790]
['580654: b_ficusc1s_f.p3d', 295]
['580999: cages_f.p3d', 569]
['581324: t_fraxinusav2s_f.p3d', 336]
['581375: sacks_heap_f.p3d', 536]
['580687: barrelsand_f.p3d', 358]
['581031: b_ficusc1s_f.p3d', 394]
['581755: b_ficusc1s_f.p3d', 1300]
['579774: b_neriumo2s_white_f.p3d', 1786]
['579772: b_neriumo2s_white_f.p3d', 1858]
['581321: t_oleae2s_f.p3d', 365]
['580846: pavement_wide_f.p3d', 767]
['581062: pipe_fence_4m_f.p3d', 103]
['580700: hbarrier_5_f.p3d', 4]
['581055: stone_8m_f.p3d', 343]
['1784275: kestrel_f.p3d Kestrel_Random_F', 1181]
['580985: pavement_narrow_f.p3d', 1421]
['1790034: kestrel_f.p3d Kestrel_Random_F', 1506]
['579778: b_neriumo2s_white_f.p3d', 1716]
['579467: b_neriumo2s_white_f.p3d', 1852]
['581183: garbagebin_01_f.p3d', 731]
['580716: b_ficusc1s_f.p3d', 7]
['581403: b_ficusc1s_f.p3d', 596]
['581230: t_ficusb2s_f.p3d', 55]
['582222: stone_8m_f.p3d', 598]
['1783798: kestrel_f.p3d Kestrel_Random_F', 1150]
['579587: mound01_8m_f.p3d', 1210]
['579931: pavement_wide_f.p3d', 1356]
['1779961: kestrel_f.p3d Kestrel_Random_F', 334]
['579994: b_ficusc2s_f.p3d', 855]
['580607: t_ficusb1s_f.p3d', 167]
['580656: b_ficusc1s_f.p3d', 183]
['580704: hbarrier_5_f.p3d', 312]
['580740: mound01_8m_f.p3d', 27]
['582217: stone_8m_f.p3d', 933]
['580706: b_neriumo2d_f.p3d', 8]
['579920: stone_8m_f.p3d', 1158]
['579504: b_ficusc1s_f.p3d', 1697]
['582245: b_ficusc1s_f.p3d', 921]
['580970: pavement_narrow_corner_f.p3d', 864]
['580764: t_ficusb1s_f.p3d', 267]
['580699: hbarrier_5_f.p3d', 10]
['582493: mound02_8m_f.p3d', 1074]
['582277: mound01_8m_f.p3d', 1092]
['580790: bench_01_f.p3d', 1227]
['580555: b_ficusc1s_f.p3d', 1322]
['1992d102b00# 579624: i_stone_housesmall_v1_f.p3d Land_i_Stone_HouseSmall_V1_F', 1427]
['51955: signt_noparking.p3d', 1431]
['581661: mound01_8m_f.p3d', 1449]
['579568: bucket_f.p3d', 1472]
['579582: mound02_8m_f.p3d', 1565]
['579806: concrete_smallwall_4m_f.p3d', 1729]
['579712: bench_02_f.p3d', 1851]
['580873: t_oleae1s_f.p3d', 285]
['582320: stone_8m_f.p3d', 838]
['581414: b_ficusc1s_f.p3d', 645]
['1781654: kestrel_f.p3d Kestrel_Random_F', 923]
['580871: t_fraxinusav2s_f.p3d', 158]
['581210: b_ficusc1s_f.p3d', 63]
['579602: b_ficusc1s_f.p3d', 1204]
['579549: b_ficusc1s_f.p3d', 1693]
['579474: concrete_smallwall_4m_f.p3d', 1778]
['581038: powerpolewooden_small_f.p3d', 354]
['199582b4100# 580601: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 156]
['581023: b_ficusc1s_f.p3d', 316]
['582357: canisterplastic_f.p3d', 839]
['579892: lampstreet_small_off_f.p3d', 747]
['581106: stone_8m_f.p3d', 548]
['581774: mound01_8m_f.p3d', 1198]
['51956: signt_noparking.p3d', 1316]
['579999: mound01_8m_f.p3d', 1363]
['580852: pavement_wide_f.p3d', 1392]
['579978: b_ficusc1s_f.p3d', 1520]
['579715: stone_8md_f.p3d', 1672]
['579818: cratesplastic_f.p3d', 1705]
['51954: signt_speedlimit30.p3d', 1767]
['579740: b_ficusc1s_f.p3d', 1793]
['581664: mound02_8m_f.p3d', 1802]
['579243: mound01_8m_f.p3d', 1807]
['579457: b_ficusc1s_f.p3d', 1848]
['579738: concrete_smallwall_8m_f.p3d', 1859]
['580993: pavement_wide_corner_f.p3d', 902]
['582226: stone_pillar_f.p3d', 681]
['580936: bucket_f.p3d', 629]
['199582b4b80# 580599: slum_house03_f.p3d Land_Slum_House03_F', 152]
['580691: bench_02_f.p3d', 359]
['582220: stone_8m_f.p3d', 918]
['581399: b_ficusc1s_f.p3d', 499]
['582378: b_ficusc1s_f.p3d', 1018]
['580722: b_ficusc1s_f.p3d', 1104]
['580595: cncbarrier_f.p3d', 1212]
['1789091: kestrel_f.p3d Kestrel_Random_F', 1418]
['579842: pavement_narrow_f.p3d', 1435]
['579555: mound01_8m_f.p3d', 1484]
['579642: stone_8m_f.p3d', 1633]
['579905: concrete_smallwall_4m_f.p3d', 1636]
['581658: b_ficusc2s_f.p3d', 1743]
['579521: b_ficusc1s_f.p3d', 1761]
['581124: stone_8md_f.p3d', 658]
['581326: stone_pillar_f.p3d', 487]
['581131: stone_pillar_f.p3d', 550]
['580915: stone_8m_f.p3d', 513]
['580995: bricks_v4_f.p3d', 865]
['580608: t_ficusb1s_f.p3d', 213]
['582291: t_ficusb2s_f.p3d', 1078]
['579843: pavement_narrow_f.p3d', 1347]
['581777: mound02_8m_f.p3d', 1382]
['581679: b_ficusc1s_f.p3d', 1683]
['581113: stone_8m_f.p3d', 647]
['581409: b_ficusc1s_f.p3d', 597]
['580783: stone_8m_f.p3d', 134]
['199575d0b80# 581377: metal_shed_f.p3d Land_Metal_Shed_F', 366]
['51981: signt_deadend.p3d', 678]
['582318: stone_8m_f.p3d', 828]
['582363: mound02_8m_f.p3d', 989]
['580542: t_ficusb1s_f.p3d', 246]
['582232: crateswooden_f.p3d', 938]
['581011: b_ficusc1s_f.p3d', 104]
['580904: stone_pillar_f.p3d', 748]
['580775: pavement_narrow_f.p3d', 95]
['581112: stone_8m_f.p3d', 500]
['581745: stone_pillar_f.p3d', 1056]
['580705: b_neriumo2d_f.p3d', 1201]
['579860: b_ficusc1s_f.p3d', 1242]
['579839: pavement_narrow_f.p3d', 1245]
['1785647: kestrel_f.p3d Kestrel_Random_F', 1250]
['1787376: kestrel_f.p3d Kestrel_Random_F', 1334]
['579725: stone_8m_f.p3d', 1529]
['579901: concrete_smallwall_4m_f.p3d', 1638]
['581033: b_ficusc1s_f.p3d', 106]
['580976: pavement_narrow_f.p3d', 607]
['580748: b_ficusc1s_f.p3d', 1]
['580926: wheelcart_f.p3d', 863]
['581749: stone_pillar_f.p3d', 1009]
['582438: mound02_8m_f.p3d', 1012]
['579586: mound01_8m_f.p3d', 1401]
['579858: t_oleae1s_f.p3d', 1437]
['579462: b_neriumo2s_white_f.p3d', 1775]
['580009: sack_f.p3d', 1825]
['579941: garbagecontainer_closed_f.p3d', 897]
['580872: t_fraxinusav2s_f.p3d', 281]
['581488: mound01_8m_f.p3d', 752]
['580865: b_ficusc1s_f.p3d', 356]
['581223: stone_8m_f.p3d', 82]
['580701: hbarrier_5_f.p3d', 15]
['580979: pavement_narrow_f.p3d', 624]
['582575: b_ficusc1s_f.p3d', 1064]
['581748: stone_pillar_f.p3d', 1164]
['579961: stone_pillar_f.p3d', 1166]
['1784404: kestrel_f.p3d Kestrel_Random_F', 1189]
['579840: pavement_narrow_f.p3d', 1350]
['580987: pavement_narrow_f.p3d', 1420]
['579554: mound01_8m_f.p3d', 1483]
['580007: mound01_8m_f.p3d', 1541]
['579560: mound01_8m_f.p3d', 1557]
['579513: mound01_8m_f.p3d', 1563]
['1992d0f5600# 579682: belltower_02_v1_f.p3d Land_BellTower_02_V1_F', 1661]
['579792: b_neriumo2s_white_f.p3d', 1727]
['580756: b_ficusc1s_f.p3d', 75]
['580888: pavement_wide_f.p3d', 905]
['19957400100# 581179: i_stone_housebig_v2_f.p3d Land_i_Stone_HouseBig_V2_F', 373]
['580920: stone_4m_f.p3d', 390]
['581192: mound01_8m_f.p3d', 37]
['582590: t_oleae1s_f.p3d', 1029]
['1785322: kestrel_f.p3d Kestrel_Random_F', 1224]
['580988: pavement_narrow_f.p3d', 1254]
['580817: sacks_heap_f.p3d', 1329]
['579939: pavement_wide_corner_f.p3d', 1355]
['581662: mound02_8m_f.p3d', 1740]
['582256: mound01_8m_f.p3d', 887]
['581320: t_oleae2s_f.p3d', 84]
['581126: stone_pillar_f.p3d', 556]
['580717: b_ficusc1s_f.p3d', 20]
['579552: b_ficusc1s_f.p3d', 307]
['582249: b_ficusc1s_f.p3d', 772]
['199573eb580# 581173: i_stone_housesmall_v1_f.p3d Land_i_Stone_HouseSmall_V1_F', 471]
['580759: b_ficusc1s_f.p3d', 54]
['582589: t_oleae1s_f.p3d', 1028]
['581772: mound01_8m_f.p3d', 1192]
['581768: b_ficusc1s_f.p3d', 1196]
['579571: stone_pillar_f.p3d', 1396]
['581566: b_ficusc2s_f.p3d', 1798]
['579382: signt_infopetrolstation.p3d', 1814]
['581329: stone_pillar_f.p3d', 528]
['581209: b_ficusc1s_f.p3d', 70]
['1992d0f2080# 580969: lampstreet_small_f.p3d Land_LampStreet_small_F', 720]
['581386: stone_pillar_f.p3d', 542]
['581411: b_ficusc1s_f.p3d', 711]
['582303: b_ficusc1s_f.p3d', 674]
['580612: t_fraxinusav2s_f.p3d', 221]
['581470: b_ficusc1s_f.p3d', 594]
['582439: mound02_8m_f.p3d', 1013]
['582360: t_ficusb1s_f.p3d', 1037]
['579924: stone_4m_f.p3d', 1237]
['579968: city_pillar_f.p3d', 1598]
['579741: b_ficusc1s_f.p3d', 1737]
['1992d121600# 581076: powerpolewooden_l_f.p3d Land_PowerPoleWooden_L_F', 138]
['582296: b_ficusc1s_f.p3d', 840]
['581141: t_oleae2s_f.p3d', 671]
['581322: t_oleae2s_f.p3d', 364]
['580621: stone_8m_f.p3d', 208]
['580534: b_neriumo2d_f.p3d', 259]
['579912: bench_01_f.p3d', 614]
['582265: b_ficusc1s_f.p3d', 1077]
['579838: pavement_narrow_f.p3d', 1247]
['579937: pavement_wide_f.p3d', 1442]
['579398: b_ficusc1s_f.p3d', 1819]
['579684: b_ficusc1s_f.p3d', 1820]
['581360: b_ficusc1s_f.p3d', 404]
['580644: pavement_narrow_f.p3d', 523]
['1995821ab00# 581073: i_stone_housebig_v2_f.p3d Land_i_Stone_HouseBig_V2_F', 133]
['580856: pavement_wide_f.p3d', 398]
['1784245: kestrel_f.p3d Kestrel_Random_F', 1180]
['579889: crateswooden_f.p3d', 1218]
['1786844: kestrel_f.p3d Kestrel_Random_F', 1323]
['579925: stone_4m_f.p3d', 1446]
['579527: b_ficusc1s_f.p3d', 1471]
['579918: stone_8m_f.p3d', 898]
['51979: signt_noparking.p3d', 278]
['581077: stone_pillar_f.p3d', 469]
['582353: bricks_v4_f.p3d', 947]
['1992d120100# 582348: lampshabby_f.p3d Land_LampShabby_F', 717]
['579611: b_ficusc1s_f.p3d', 297]
['581016: b_ficusc1s_f.p3d', 119]
['199582b6080# 580600: slum_house02_f.p3d Land_Slum_House02_F', 233]
['581030: b_ficusc1s_f.p3d', 515]
['582477: b_ficusc1s_f.p3d', 1063]
['1782597: kestrel_f.p3d Kestrel_Random_F', 1120]
['581761: b_ficusc1s_f.p3d', 1186]
['579885: stone_8m_f.p3d', 1248]
['579875: stone_8m_f.p3d', 1438]
['580837: pavement_wide_f.p3d', 740]
['582221: stone_8m_f.p3d', 934]
['582257: mound02_8m_f.p3d', 773]
['581216: b_ficusc1s_f.p3d', 56]
['582304: b_ficusc1s_f.p3d', 872]
['580707: b_neriumo2d_f.p3d', 270]
['581090: pavement_narrow_f.p3d', 683]
['579601: b_ficusc1s_f.p3d', 1207]
['1786610: kestrel_f.p3d Kestrel_Random_F', 1295]
['1787059: kestrel_f.p3d Kestrel_Random_F', 1326]
['1787870: kestrel_f.p3d Kestrel_Random_F', 1358]
['579531: mound02_8m_f.p3d', 1552]
['579470: concrete_smallwall_4m_f.p3d', 1845]
['581142: powerpolewooden_small_f.p3d', 473]
['580876: garbagecontainer_closed_f.p3d', 396]
['581162: b_ficusc1s_f.p3d', 447]
['580726: b_ficusc1s_f.p3d', 24]
['582435: b_ficusc2s_f.p3d', 958]
['1780780: kestrel_f.p3d Kestrel_Random_F', 461]
['19958040b80# 580962: i_addon_03_v1_f.p3d Land_i_Addon_03_V1_F', 613]
['582231: t_ficusb1s_f.p3d', 881]
['580618: stone_8m_f.p3d', 237]
['580944: sunshade_02_f.p3d', 857]
['19957e87580# 579859: i_shop_01_v2_f.p3d Land_i_Shop_01_V2_F', 375]
['581406: b_ficusc1s_f.p3d', 664]
['582502: mound01_8m_f.p3d', 1072]
['579510: mound01_8m_f.p3d', 1642]
['581145: b_ficusc2s_f.p3d', 507]
['19957e81600# 582233: i_stone_shed_v1_f.p3d Land_i_Stone_Shed_V1_F', 849]
['582355: bricks_v2_f.p3d', 998]
['580862: pavement_wide_f.p3d', 143]
['582508: b_ficusc1s_f.p3d', 1010]
['579965: t_ficusb2s_f.p3d', 1139]
['579896: stone_8md_f.p3d', 1246]
['19957be0100# 579628: stone_gate_f.p3d Land_Stone_Gate_F', 1640]
['579936: pavement_wide_f.p3d', 1671]
['581697: mound02_8m_f.p3d', 1745]
['579770: b_neriumo2s_white_f.p3d', 1785]
['580786: pipe_fence_4m_f.p3d', 277]
['582335: t_oleae2s_f.p3d', 676]
['580801: cratesshabby_f.p3d', 434]
['19957e84b80# 579953: kiosk_blueking_f.p3d Land_Kiosk_blueking_F', 856]
['580834: city_4m_f.p3d', 588]
['581149: powerpolewooden_f.p3d', 408]
['581221: mound01_8m_f.p3d', 76]
['580548: stone_4m_f.p3d', 332]
['580658: b_ficusc1s_f.p3d', 171]
['1783396: kestrel_f.p3d Kestrel_Random_F', 1133]
['580938: basket_f.p3d', 1136]
['579853: pavement_narrow_f.p3d', 1148]
['579881: stone_8m_f.p3d', 1220]
['581779: mound02_8m_f.p3d', 1463]
['582210: stone_8m_f.p3d', 725]
['580551: wall_tin_4_2.p3d', 328]
['580918: stone_8m_f.p3d', 611]
['580907: stone_pillar_f.p3d', 762]
['581227: t_ficusb1s_f.p3d', 77]
['1780838: kestrel_f.p3d Kestrel_Random_F', 479]
['581197: mound01_8m_f.p3d', 40]
['581428: mound01_8m_f.p3d', 535]
['579970: b_ficusc1s_f.p3d', 1145]
['579969: city_pillar_f.p3d', 1187]
['1786759: kestrel_f.p3d Kestrel_Random_F', 1319]
['579869: b_ficusc1s_f.p3d', 1474]
['579728: stone_4m_f.p3d', 1657]
['581115: stone_8m_f.p3d', 652]
['580634: stone_8m_f.p3d', 189]
['582457: t_ficusb1s_f.p3d', 873]
['580624: stone_8m_f.p3d', 439]
['580645: pavement_narrow_f.p3d', 521]
['580779: stone_8m_f.p3d', 154]
['580690: sacks_goods_f.p3d', 326]
['581189: b_ficusc1s_f.p3d', 47]
['580816: bucket_f.p3d', 1234]
['579543: t_oleae2s_f.p3d', 1306]
['579849: pavement_narrow_f.p3d', 1317]
['579620: wired_fence_8m_f.p3d', 1320]
['581673: t_ficusb1s_f.p3d', 1450]
['579746: b_ficusc1s_f.p3d', 1595]
['579647: stone_8m_f.p3d', 1659]
['579739: b_ficusc1s_f.p3d', 1668]
['581640: b_ficusc1s_f.p3d', 1789]
['19957723580# 579383: u_addon_02_v1_f.p3d Land_u_Addon_02_V1_F', 1815]
['580573: mil_wallbig_4m_f.p3d', 256]
['19958219600# 580924: i_house_small_01_v2_f.p3d Land_i_House_Small_01_V2_F', 557]
['581153: b_ficusc1s_f.p3d', 792]
['582484: t_ficusb2s_f.p3d', 969]
['581743: stone_8m_f.p3d', 1297]
['581680: b_ficusc1s_f.p3d', 1534]
['579768: b_neriumo2s_white_f.p3d', 1788]
['582370: b_ficusc1s_f.p3d', 980]
['581365: b_ficusc1s_f.p3d', 481]
['580567: mil_wallbig_4m_f.p3d', 254]
['582211: stone_8m_f.p3d', 759]
['581397: b_ficusc1s_f.p3d', 650]
['581100: stone_8m_f.p3d', 552]
['582450: t_ficusb1s_f.p3d', 822]
['580914: stone_8m_f.p3d', 555]
['580629: stone_8m_f.p3d', 238]
['582542: mound02_8m_f.p3d', 1059]
['1782657: kestrel_f.p3d Kestrel_Random_F', 1126]
['579566: cages_f.p3d', 1315]
['1788924: kestrel_f.p3d Kestrel_Random_F', 1417]
['579884: stone_8m_f.p3d', 1432]
['579547: b_ficusc1s_f.p3d', 1635]
['579651: stone_pillar_f.p3d', 1658]
['579780: b_neriumo2s_white_f.p3d', 1724]
['579767: b_neriumo2s_white_f.p3d', 1738]
['579718: stone_8m_f.p3d', 1739]
['581641: b_ficusc1s_f.p3d', 1790]
['199577d4100# 579369: i_stone_shed_v3_f.p3d Land_i_Stone_Shed_V3_F', 1816]
['581083: t_oleae2s_f.p3d', 348]
['580957: b_ficusc1s_f.p3d', 559]
['581130: stone_pillar_f.p3d', 549]
['Agent 0x000001997F4E4180', 798]
['1781275: kestrel_f.p3d Kestrel_Random_F', 688]
['580662: b_ficusc1s_f.p3d', 231]
['582473: b_ficusc1s_f.p3d', 1049]
['581378: cratesshabby_f.p3d', 1231]
['579744: b_ficusc1s_f.p3d', 1516]
['579727: stone_8m_f.p3d', 1735]
['580544: stone_pillar_f.p3d', 251]
['580996: woodencart_f.p3d', 592]
['579851: pavement_narrow_f.p3d', 615]
['580647: mound01_8m_f.p3d', 200]
['580782: stone_8m_f.p3d', 137]
['580758: b_ficusc1s_f.p3d', 35]
['582463: t_oleae2s_f.p3d', 807]
['581206: t_ficusb2s_f.p3d', 34]
['582479: b_ficusc2s_f.p3d', 1034]
['582467: b_ficusc1s_f.p3d', 1051]
['579605: b_ficusc1s_f.p3d', 1468]
['580011: cratesplastic_f.p3d', 1505]
['579648: stone_8m_f.p3d', 1818]
['580605: t_ficusb1s_f.p3d', 240]
['580635: stone_4m_f.p3d', 228]
['579615: b_ficusc1s_f.p3d', 204]
['581013: b_ficusc1s_f.p3d', 344]
['580698: b_ficusc2d_f.p3d', 260]
['580882: pipes_small_f.p3d', 851]
['580824: city_8m_f.p3d', 476]
['580633: stone_8m_f.p3d', 195]
['582569: b_ficusc1s_f.p3d', 1079]
['1787331: kestrel_f.p3d Kestrel_Random_F', 1335]
['580894: pavement_wide_f.p3d', 1344]
['579626: t_broussonetiap1s_f.p3d', 1584]
['579505: t_ficusb1s_f.p3d', 1625]
['579500: b_ficusc1s_f.p3d', 1753]
['581814: t_ficusb1s_f.p3d', 1803]
['581688: mound01_8m_f.p3d', 1866]
['580678: wall_tin_4_2.p3d', 299]
['580997: sack_f.p3d', 566]
['581109: stone_8m_f.p3d', 703]
['580774: pavement_narrow_f.p3d', 276]
['582443: stone_8m_f.p3d', 656]
['581122: stone_8m_f.p3d', 470]
['579553: wall_tin_4_2.p3d', 305]
